date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:52	488/488	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Oct%202022%2018:55:20%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/ico-wifi.png	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/ico-wifi.png	(from https://fornet.net.br/)
18:59:52	477/477	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Oct%202022%2018:55:19%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/ico-download.png	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/ico-download.png	(from https://fornet.net.br/)
18:59:53	492/492	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Oct%202022%2018:55:19%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/ico-upload.png	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/ico-upload.png	(from https://fornet.net.br/)
18:59:53	7026/7026	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2018:31:00%20GMT	https://fornet.net.br/wp-content/uploads/2023/04/google-score-4_4-fornet.png	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2023/04/google-score-4_4-fornet.png	(from https://fornet.net.br/)
18:59:53	1418/1418	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2002:38:42%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/ico-depo.svg	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/ico-depo.svg	(from https://fornet.net.br/)
18:59:53	173865/173865	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Oct%202022%2002:50:51%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/ilust-fornet.jpeg	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/ilust-fornet.jpg	(from https://fornet.net.br/)
18:59:54	1146/1146	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2002:59:01%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/ico-map.svg	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/ico-map.svg	(from https://fornet.net.br/)
18:59:54	126305/126305	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Nov%202023%2017:26:56%20GMT	https://fornet.net.br/assinatura/	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/assinatura/index.html	(from https://fornet.net.br/)
18:59:54	1097/1097	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2002:58:59%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/ico-fone.svg	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/ico-fone.svg	(from https://fornet.net.br/)
18:59:54	1947/1947	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2002:58:59%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/ico-cel.svg	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/ico-cel.svg	(from https://fornet.net.br/)
18:59:55	57010/57010	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Nov%202022%2021:04:58%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/fachada-fornet.jpg	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/fachada-fornet.jpg	(from https://fornet.net.br/)
18:59:55	22670/22670	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2001:33:00%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/logo-fonet.svg	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/logo-fonet.svg	(from https://fornet.net.br/)
